F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,Class
2.8297,9.504,0,2157.09,1.31845,-7705.8,-11.655,-1331.87,-46.738,-5.5,5.2252,-1.96,-8638.5,1,-7.194,2060.37,12837.346,11.9916,-328.84,21.48,FALSE
4.247,7.6286,0,2121.63,1.23472,-8062.68,-8.5449,-2199.67,-49.267,-4.427,6.826,-1.96,-6901.5,0,-4.767,1913.7,12806.78,12.576,-232.44,22.12,TRUE
4.407,6.71968,0,7615.26,1.9556,-7969.08,-10.641,-2031.22,-91.7,-3.8825,7.942,-0.96,-7081.82,0,-5.61,1830.57,12609.16,10.5618,-449.5,22.74,FALSE
5.211,10.906,0,2510.28,1.26259,-7219.98,-6.874119,-1992.06,-47.872,-4.516,7.234,-0.96,-7316.06,0,-2.4492,4262.4,12797.24,10.4385,-70.6,,TRUE
2.699,8.95,0,2166.9,1.9666,-4687.98,-13.08,-2865.37,-47.183,-3.5585,4.8388,-1.96,-5970.5,1,-4.761,1644.6,12849.41,20.343,-245.92,,FALSE
2.8849,8.477,0,2234.79,1.23538,-7923.06,-7.3536,-2967.77,-47.661,-5.56,4.77014,-0.96,-6146.1,1,-1.9731,1761,12787.54,9.68349,554.8,,FALSE
2.9042,9.438,0,2672.16,2.244,-7877.532,-8.2845,-2033.35,-59.37,-4.1526,7.17,-1.96,-6508.5,1,-2.2896,3052.8,12886.74,12.33,-336.96,24.56,TRUE
5.914,9.572,0,2346.39,2.94,-9719.58,-8.7867,-4414.17,-47.155,-3.5266,4.8294,-0.96,-6943.5,0,-3.7488,1302,12786.66,13.629,-236.2,20.32,FALSE
2.6364,7.5742,1,2765.46,1.3766,-8206.68,-9.6912,-1972.97,-51.815,-4.2627,6.5842,-1.96,-5003.7,0,-7.797,1850.37,12837.508,10.9473,-505.4,,TRUE
4.719,7.0152,1,4329.06,2.352,-5387.88,-9.1875,-1993.94,-49.296,-3.7165,7.31,-0.96,-7350.3,1,-2.2695,4223.4,12867.96,15.192,-247.3,,TRUE
4.989,7.4022,0,2639.46,1.4096,-6124.68,-7.641,-2134.24,-48.267,-3.8314,6.493,-0.96,-7209.74,1,-8.469,2278.95,12808.44,13.161,-142.56,,TRUE
2.9573,7.216,1,1897.86,1.341,-7565.58,-11.868,-2213.27,-53.82,-4.918,5.8612,-0.96,-6967.3,0,-2.6211,3564,12832.514,9.77727,1551.8,,TRUE
4.053,12.214,0,2407.92,1.8665,4036.02,-8.5122,-2664.47,-53.64,-3.38748,4.9366,-0.96,-6964.7,0,-1.29621,-3474.9,12810.12,9.831,1230.4,,FALSE
3.2246,7.8308,0,3082.86,2.4,-7662.72,-9.7449,-2074.333,-57.46,-4.492,12.282,-1.96,-6787.7,1,-2.3496,2416.2,12800.34,9.8535,-16.4,25.86,TRUE
3.63,8.0358,0,2273.298,1.6744,-3190.98,-10.347,-1907.87,-46.465,-3.4859,6.3766,-0.96,-7509.1,0,-6.318,2020.77,12868.6,12.981,-246.68,,FALSE
4.737,6.8658,1,1328.16,1.2306345,-6431.88,-8.6367,-1996.77,-59.79,-3.527,7.738,-1.96,-7310.44,0,-4.47,1824.15,12966.4,9.9237,-244.54,,TRUE
3.1659,7.124,0,4220.46,1.4074,-7258.68,-8.8296,-2359.97,-45.93,-4.608,5.68,-0.96,-6746.5,0,-2.0445,7361.1,12784.38,9.71487,2864.4,,TRUE
2.7073,8.122,0,2246.91,1.27173,-8148.24,-10.581,-1859.37,-53.74,-4.2132,5.4756,-0.96,-7174.9,1,-6.099,2446.2,12805.02,13.59,-343.96,25.06,TRUE
3.1632,8.198,0,3021.96,1.28681,-7825.35,-7.2648,-2681.67,-47.614,-4.445,5.188,-1.96,-6120.7,1,-3.5184,3141.3,12848.586,9.9372,397.2,,TRUE
3.2978,8.68,1,2182.17,2.1276,-7829.67,-8.7657,-1880.17,-47.876,-4.944,5.7516,-0.96,-7539.5,0,-6.459,2707.8,12790.14,10.0242,-352.96,,TRUE
3.2044,7.5612,1,2805.06,1.4631,-5691.48,-7.4253,-2014.31,-43.838,-3.6027,4.7994,-0.96,-7269.15,0,-1.806,7412.1,12706.88,13.383,-213.94,23.62,TRUE
2.8717,7.0768,1,4414.26,1.30819,-7896.738,-8.4486,-2276.77,-54.4,-3.6326,5.9126,-0.96,-4947.7,1,-10.653,1938,12885.48,11.9451,-227.78,,TRUE
5.773,13.286,0,2460.99,1.5063,-7558.68,-12.111,-2151.14,-54.78,-4.0571,9.224,-0.96,-6963.5,0,-10.119,1775.7,12980.44,11.6916,-140.82,,FALSE
4.121,7.6464,0,1938.06,3.527,-7532.88,-7.12638,-2342.47,-69.47,-4.664,5.8138,-1.96,-7120.6,0,-8.04,2637.9,12768.22,13.449,-143.28,23.68,TRUE
4.455,9.996,1,2108.85,3.943,-352.98,-9.6372,-2308.37,-44.179,-3.449,5.5586,-1.96,-7129.56,1,-4.38,1221.3,12822.202,11.9991,-11,22.56,FALSE
3.0701,7.0904,1,2219.19,1.25526,-7943.67,-10.038,-2398.57,-48.556,-4.0812,5.5008,-1.96,-6215.7,1,-9.348,2077.095,12826.356,15.456,-252.38,21.86,FALSE
2.7421,8.4402,1,2526.57,1.5492,-7829.25,-7.2627,-2440.67,-47.614,-4.35,5.6288,-1.96,-4577.7,0,-1.6779,6311.1,12761.34,19.707,-262.92,,FALSE
4.008,7.1684,1,2681.16,2.249,-2854.98,-8.1156,-1054.17,-49.202,-3.5124,4.8342,-0.96,-7363.06,0,-11.337,1982.25,12852.1,10.0521,276.6,,FALSE
4.676,6.66258,0,13645.26,1.394,-7758.39,-7.3287,-1553.87,-52.78,-5.678,5.0802,-0.96,-7209.34,1,-1.7373,3174.3,12813.406,14.478,-313.538,,TRUE
2.9253,7.5776,0,2940.06,1.28253,-8165.73,-8.3289,-1931.57,-49.234,-3.41896,6.1036,-1.96,-7255.784,1,-4.251,3123,12281.16,13.551,-338.66,,TRUE
2.8561,9.674,1,2450.58,1.25612,-7026.18,-8.8836,-1996.62,-46.377,-3.9854,7.382,-0.96,-7264.488,1,-3.6357,1569.3,12780.86,9.9243,-27.6,,TRUE
4.391,8.1784,1,2881.86,1.25858,-8386.98,-11.838,-2252.97,-44.416,-3.7895,6.5586,-1.96,-6748.1,0,-9.027,1967.7,12843.062,14.52,-270.54,,TRUE
3.1075,8.798,1,2389.68,3.685,2965.02,-9.2022,-2016.24,-75.29,-3.41808,5.5824,-1.96,-7235.966,1,-5.736,1791.9,12763.58,15.114,-217.34,21.8,FALSE
3.907,7.1982,0,1380.66,1.9587,-8992.98,-9.93,-2453.57,-66.84,-3.6836,5.8862,-0.96,-6800.5,1,-2.5026,4493.7,12838.406,15.936,-247.72,24.88,TRUE
3.783,6.73612,1,5026.86,1.4797,412.02,-7.8801,-1808.67,-52.53,-3.385,5.2834,-1.96,-7329.78,0,-2.3691,3966.3,12825.458,12.075,-252.82,23.36,TRUE
5.718,8.059,0,2806.26,1.2966,-7626.03,-8.0334,-2298.97,-49.733,-5.553,6.4954,-0.96,-7069.3,0,-1.5105,8255.1,12722.54,14.163,-160.58,,TRUE
2.9796,6.8956,1,1564.56,1.9537,-7662.93,-7.02861,-2023.93,-56.3,-5.482,7.792,-1.96,-7780.3,0,-5.034,2700.3,12967.7,10.9017,-151.32,20.24,FALSE
2.8614,7.3414,1,3338.46,1.2703,-7499.58,-18.252,-1228.97,-45.701,-4.823,4.826,-0.96,-7092.92,0,-8.13,2059.29,12828.396,11.9466,-241.5,20.18,FALSE
2.7513,11.232,1,2476.08,1.232857,-8917.98,-8.946,-2302.97,-47.576,-3.5281,6.5548,-0.96,-3911.7,0,-1.8687,7022.1,12854.96,10.212,86.6,,TRUE
2.7992,6.7714,1,-468.84,1.378,-11221.98,-8.2017,-2260.17,-46.025,-3.3992,4.9544,-1.96,-6028.5,1,-4.491,1568.4,12763.66,11.5077,-278.82,16.44,FALSE
4.191,8.996,1,2354.07,2.444,-7726.47,-7.7226,-2734.17,-42.7831,-7.169,5.0496,-0.96,-6981.7,1,-1.5459,-17.4,12761.66,9.74352,2226.4,18.9,FALSE
3.631,6.773,0,-991.74,1.30299,-8362.08,-8.6985,-2052.11,-48.943,-3.9807,5.9322,-1.96,-7019.1,1,-2.5566,688.8,12797.08,11.148,-338.74,17.1,FALSE
2.9366,6.8846,0,1756.56,1.28748,-8201.28,-8.3622,-1630.67,-49.986,-3.6466,5.3214,-1.96,-7687.9,1,-2.4264,3380.1,12832.518,10.6371,-487.88,20.14,FALSE
3.0053,9.774,1,2545.92,1.8097,-7921.308,-8.7966,-2044.97,-43.098,-6.036,11.616,-1.96,-7156.68,0,-8.025,2541.9,14828.96,12.6,-366.92,24.48,TRUE
2.60434,8.606,0,2146.23,1.30847,-7776.78,-9.1761,-1353.57,-46.004,-7.469,5.024,-1.96,-9905.7,1,-5.637,1957.98,12821.8,15.732,-286.312,16,FALSE
3.718,7.488,0,2845.26,1.6357,-7587.78,-11.496,-1995.34,-52.49,-6.704,5.8238,-0.96,-7351.12,0,-2.3775,3033.9,12831.777,9.8169,1183.4,,TRUE
3.0264,7.453,1,1813.56,1.3406,-7904.679,-8.7333,-2098.22,-53.23,-4.404,8.574,-1.96,-7008.3,0,-4.827,2881.2,12863.86,16.662,-274.26,,FALSE
3.196,7.7168,1,2086.41,1.4496,97.02,-12.48,-1981.35,-66.06,-3.40541,8.106,-1.96,-7770.5,1,-1.26813,2496.9,12860.72,10.6647,-204.16,22.08,FALSE
3.3699,7.5368,1,2043.09,2.0139,-7894.4337,-8.3118,-2025.49,-44.044,-4.644,5.6188,-1.96,-7049.94,1,-1.9068,1352.1,12819.668,14.988,-292.41,22.12,FALSE
3.2998,11.534,1,2379.24,1.3967,-7962.93,-7.6071,-2107.55,-62.65,-5.42,11.924,-0.96,-6615.9,1,-1.845,6074.1,12792.02,9.9414,55.6,23.34,TRUE
3.584,10.332,1,2228.19,2.0601,-8559.78,-9.2733,-2103.77,-46.304,-3.7017,5.4532,-0.96,-6963.1,0,-13.662,2095.029,12862.74,13.512,-304.508,,FALSE
2.9619,7.7116,0,3194.76,3.237,-7882.848,-7.587,-2030.13,-50.374,-3.735,7.23,-1.96,-6604.3,1,-1.4862,3784.5,12880.12,20.943,-309.726,23.04,TRUE
4.239,10.072,0,2493.69,1.24556,-6534.18,-6.93936,-2270.57,-49.768,-3.9744,5.987,-0.96,-6975.7,0,-10.938,2002.08,12877.64,10.6536,265,19.8,FALSE
3.2862,8.1852,0,2185.17,1.26758,-4711.98,-7.803,-2288.17,-53.03,-3.4768,6.0798,-0.96,-6903.9,1,-6.954,2653.5,12825.44,20.7,-247.62,,TRUE
3.0208,8.846,1,2660.46,1.27782,-7472.28,-10.338,-1348.17,-42.79,-4.67,5.0322,-1.96,-7306.26,1,-4.461,1743.3,12662.76,11.6481,-290.874,,TRUE
2.7887,8.0708,0,2857.26,1.231537,-6842.28,-15.825,-2629.07,-46.527,-3.6823,5.194,-1.96,-5163.7,0,-1.27884,12863.1,12828.505,12.975,-170.98,,TRUE
4.919,7.5328,0,1866.96,1.236593,-7527.18,-9.4746,-1053.17,-47.083,-4.351,4.9414,-1.96,-7374.98,1,-3.45,1979.37,12897.16,13.419,-296.036,19.5,FALSE
2.6527,6.8794,0,2247.45,1.25652,-8020.32,-9.1164,-4568.17,-56.02,-5.792,4.80242,-1.96,-549.7,0,-4.122,1354.8,12840.412,10.2195,80.6,16.28,FALSE
3.4084,6.9532,0,4994.76,2.0862,-7023.18,-7.7613,-2280.67,-50.521,-4.1123,6.4824,-0.96,-6430.5,1,-1.34763,-2619.9,12851.62,23.124,-254.48,,FALSE
3.1709,8.582,1,2192.31,4.242,-7516.08,-12.747,-2495.97,-43.446,-4.909,5.2234,-1.96,-6745.3,1,-3.5247,1936.29,12849.772,11.1234,59,20.5,FALSE
4.546,6.9614,0,4097.46,1.24087,-7751.76,-8.1105,-1924.87,-47.247,-6.838,6.93,-0.96,-7293,0,-1.6314,-332.7,12830.505,19.212,-304.472,,FALSE
2.7054,9.652,1,2290.416,1.7863,-9367.68,-7.6848,-2178.27,-44.004,-3.4955,9.508,-1.96,-3469.7,0,-1.4286,11537.1,12921.34,13.254,-201.62,,FALSE
2.6986,6.8788,1,2253.57,1.7562,-7925.37,-8.304,-1354.97,-45.038,-6.003,5.1026,-0.96,-7844.1,0,-7.038,2079.612,12841.198,12.2415,-395.3,,FALSE
4.314,6.71862,0,7816.26,1.25514,-6670.68,-8.8281,-2204.27,-58.73,-4.385,6.806,-0.96,-7008.3,0,-7.452,1805.82,12807.64,10.5105,542.6,20.02,FALSE
3.832,6.8382,1,4805.16,1.234185,-7991.19,-7.3332,-2220.57,-48.492,-5.973,6.154,-0.96,-6809.9,1,-2.2914,4525.8,12805.5,10.8789,-244,,TRUE
4.397,7.9342,1,2471.31,1.28122,-7764.21,-6.876876,-2546.57,-45.166,-3.9216,5.026,-0.96,-7048.7,1,-1.6929,6185.1,13198.16,14.184,-245.54,,FALSE
3.582,7.438,0,2153.13,1.32193,-2113.98,-10.131,-1909.77,-43.813,-3.4346,5.3376,-1.96,-7271.7,1,-7.869,1883.22,12870.38,12.903,-220.96,18.9,FALSE
3.2233,8.2142,1,1846.56,1.9653,-7379.58,-10.782,-1003.17,-52.36,-4.454,4.9494,-1.96,-8044.9,1,-2.3778,3756.3,12836.352,13.2,-263,,FALSE
5.129,11.93,0,2460.69,1.5257,-1504.98,-7.2405,-2178.47,-49.113,-3.529,9.014,-0.96,-6993.7,0,-1.4598,-4911.9,12778.88,10.3791,806,,FALSE
2.8909,8.3686,1,2964.66,1.7635,-8262.18,-10.254,-1909.97,-49.039,-4.3218,6.284,-0.96,-6873.9,0,-3.2541,3619.2,13340.16,13.404,-408.62,24.26,TRUE
3.4157,8.744,0,2493,1.7313,-5987.58,-6.90933,-1895.37,-45.016,-3.6257,6.1086,-1.96,-7291.9,1,-4.764,1545.3,12835.958,15.261,-287.034,23.22,TRUE
3.1115,8.5564,0,2728.86,1.6095,-8572.08,-11.328,-2020.42,-75.7,-3.646,7.734,-1.96,-6935.1,1,-1.4625,8459.1,12861.04,11.8134,-405.54,25.5,TRUE
2.7564,6.71284,0,5407.26,2.426,-8017.23,-7.3089,-2125.77,-48.055,-4.954,8.214,-0.96,-5303.9,0,-2.6904,3753.6,12796.88,10.3743,-200.9,,TRUE
3.3629,14.908,0,2337.87,1.8708,-10430.88,-10.05,-2124.46,-53.62,-3.5244,11.588,-0.96,-6220.9,0,-3.9711,1949.04,12852.8,10.2258,-225.7,21.36,FALSE
6.309,9.794,1,2274.588,2.784,-7920.303,-6.92436,-2114.48,-51.617,-4.797,10.294,-1.96,-7154,0,-1.9587,5327.1,12864.78,11.5635,-183.36,,FALSE
3.663,10.992,0,2497.74,2.303,-8080.68,-7.4331,-2412.47,-55.84,-5.115,5.236,-1.96,-6680.9,0,-3.2427,3273,12832.522,11.1531,-296.166,26.48,TRUE
3.892,7.0806,0,4450.56,1.4238,-7917.762,-8.3229,-2239.27,-55.99,-4.926,6.375,-0.96,-6753.1,0,-2.2149,4446.6,12698.46,11.9781,-218.56,,TRUE
2.6521,6.83,1,-698.04,1.5209,-8743.98,-7.1475,-2104.56,-52,-4.2004,6.806,-0.96,-5629.5,0,-1.542,9329.1,12832.166,11.9661,-365.62,21.2,TRUE
2.6966,7.9274,0,1937.76,1.231347,-7368.48,-9.771,-2057.46,-42.4129,-3.4717,5.748,-1.96,-6959.3,1,-3.4824,2559.3,12830.687,12.4152,-254.22,,FALSE
2.60766,9.966,1,2237.7,1.8968,-8323.98,-10.032,-2396.77,-60.31,-3.9782,5.7336,-1.96,288.3,1,-3.2802,1742.4,12694.32,13.197,-237.68,22.04,FALSE
3.782,7.0908,0,4443.36,3.264,-7480.98,-9.0255,-2056.14,-48.317,-4.682,6.6068,-0.96,-7118.54,1,-1.8294,5018.1,12775.36,11.1975,-167.64,22.52,TRUE
2.9433,7.9518,1,2487.42,1.4087,-8218.68,-8.1546,-1718.07,-42.26,-3.9262,5.6178,-1.96,-7384.36,1,-2.5155,2415.3,12824.088,9.74145,-1779.4,19.74,FALSE
3.28,7.679,0,2966.76,1.239139,-5972.88,-7.9404,-2271.07,-52.44,-3.8213,5.3214,-1.96,-6833.5,1,-6.633,1906.05,12599.76,10.1802,552.2,22.54,TRUE
2.7733,7.9888,1,2960.46,1.27525,-6937.98,-7.7112,-2057.11,-43.753,-4.022,12.262,-0.96,-6918.9,0,-3.3909,1960.38,12838.81,20.676,-283.17,21.12,FALSE
3.948,6.67502,1,1781.76,1.25306,-7993.11,-12.087,-2599.07,-63.6,-3.8948,4.78196,-1.96,-7089.56,1,-5.769,2640.9,12918.04,10.2741,-131.88,,FALSE
2.9795,9.822,0,2181.48,1.32769,-6269.28,-9.7401,-620.17,-51.97,-3.5129,4.73134,-0.96,-7680.9,1,-3.8472,2969.1,12775.5,14.028,-272.32,,TRUE
4.065,7.4744,1,1893.06,1.2301071,-6018.18,-7.3014,-2049.95,-47.084,-3.548,7.874,-1.96,-7247.14,0,-3.414,1631.1,12836.732,11.7345,-201.12,,FALSE
3.524,8.4304,1,2658.36,1.237329,-7177.08,-7.4181,-3058.57,-57.68,-3.7155,5.0622,-0.96,-6627.3,0,-2.2341,5171.1,12691.14,12.1509,-103.08,22.44,TRUE
3.1553,6.68468,0,3504.36,1.7119,-6603.78,-10.941,-1802.17,-43.651,-4.0036,5.2172,-1.96,-7727.7,0,-1.5696,8657.1,12841.888,14.706,-229.26,21.72,TRUE
3.1669,7.7218,1,3029.16,1.232338,-8357.58,-8.4219,-2143.9,-50.044,-3.5163,8.294,-1.96,-6048.5,1,-3.2076,1440,12874.66,11.6958,-234.12,25.5,TRUE
3.115,7.7506,1,1932.96,1.9261,-10342.08,-7.1712,-2666.17,-59.61,-3.5746,4.8766,-1.96,-6611.9,1,-6.186,2639.1,12884.46,13.512,-312.734,,FALSE
2.58038,8.62,0,2685.66,1.230043,-9388.98,-9.684,-1954.47,-45.711,-3.5845,6.3298,-1.96,-1215.7,1,-1.38504,-7953.9,12758.6,12.1134,-444.88,21.92,TRUE
4.515,6.73082,0,8605.26,1.5342,-7871.829,-8.388,-2127.12,-42.067,-4.1989,6.862,-0.96,-6933.7,0,-6.897,1926.12,12852.48,16.617,-289.734,,FALSE
5.192,11.546,0,2512.62,1.24821,-7514.58,-8.9364,-2105.42,-54.72,-4.746,9.522,-0.96,-7069.96,0,-1.7232,1757.7,13013.12,11.5788,-132.48,,FALSE
3.4807,9.096,0,2550.21,1.3188,-5879.28,-10.77,-1678.07,-44.501,-3.5605,5.3032,-1.96,-7291.36,1,-7.116,2024.82,12929.68,13.47,-296.274,,TRUE
4.025,10.434,1,2016.27,1.2302682,-8340.48,-10.326,-2151.83,-43.106,-3.5429,6.622,-0.96,-7002.3,0,-6.738,1569.9,12817.04,11.6217,-199.66,21.2,FALSE
3.51,11.612,0,2306.265,1.7727,-6713.28,-13.278,-1947.37,-44.153,-4.0397,5.9274,-0.96,-7372.68,1,-1.7565,480.9,12868.96,10.35,86.2,21,FALSE
4.503,8.1156,0,1917.36,1.25262,-8065.38,-12.219,-2305.87,-45.435,-4.89,5.8312,-1.96,-7059.72,0,-4.605,2994.6,12828.262,13.329,-240.12,26.82,TRUE
2.766,6.8864,1,3769.86,1.3414,-8187.57,-7.7172,-2225.77,-53.25,-3.8803,7.184,-1.96,-4645.7,1,-1.28313,21344.1,12814.592,10.5681,-37.4,,TRUE
2.7271,10.972,0,2225.28,4.187,-8006.13,-9.2688,-1844.37,-45.874,-4.2069,5.4502,-1.96,-7821.5,0,-1.8135,6146.1,12798.88,16.74,-313.536,,TRUE
4.673,8.1314,1,2179.2,1.7356,-7971.06,-9.0909,-2220.17,-42.3335,-7.65,5.901,-1.96,-6995.7,1,-3.3597,1854.66,12846.978,22.167,-294.938,,FALSE
2.7278,7.1158,1,3863.16,1.6619,-8116.92,-8.7318,-2050.74,-45.617,-3.9372,11.406,-1.96,-6438.1,0,-1.5108,6833.1,12859.4,14.829,-338.88,24.46,TRUE
2.9029,8.894,1,1988.34,1.348,-9095.28,-7.8399,-2115.91,-47.034,-3.6777,7.702,-1.96,-6686.3,1,-1.4175,12353.1,12824.714,12.0741,-285.59,,FALSE
4.486,8.646,1,2781.96,1.24076,-7385.58,-8.6496,-3383.17,-42.1488,-4.349,4.8262,-1.96,-7008.3,1,-2.5929,3928.8,12855.5,10.2843,307.4,,TRUE
2.922,8.4282,1,2839.86,1.24049,-7779.18,-9.3684,-2227.37,-44.004,-6.69,5.8162,-0.96,-6189.7,1,-4.338,2814.3,12975.82,9.76743,970,23.34,TRUE
6.095,7.4168,1,2070.72,1.30529,-6153.48,-8.5911,-1742.97,-42.1917,-3.5677,5.7676,-1.96,-7373.84,1,-1.9014,4840.5,12640.1,10.9251,-309.58,18.16,FALSE
3.0293,6.7994,0,1799.46,1.5323,-5606.88,-10.965,-1987.13,-57.08,-3.5809,7.604,-0.96,-8028.9,1,-1.38153,14300.1,12815.092,10.9257,-186.74,,TRUE
2.8011,10.966,1,2476.74,1.457,-7885.395,-8.6082,-3590.17,-45.428,-4.61,4.9142,-1.96,-4691.7,1,-8.625,2586.3,10834.96,9.67527,2032.4,,TRUE
4.039,7.0056,1,4571.46,1.6756,-7392.78,-12.681,-2389.47,-51.457,-4.0989,5.278,-1.96,-6943.7,1,-4.77,2687.4,12846.034,10.1214,274.6,,TRUE
2.694,8.636,0,2772.96,1.23103,-8790.48,-7.5261,-168.17,-80.26,-4.0227,4.81104,-0.96,-6473.3,0,-2.4546,3516.6,12866.02,10.5519,-885.8,17.08,FALSE
2.9002,11.064,0,2151.6,1.24287,-8065.26,-8.2314,-2847.07,-49.571,-3.7167,5.1952,-1.96,-5994.5,0,-1.4349,12257.1,12909.66,12.2166,-127.46,21.64,TRUE
4.55,10.53,1,2705.76,1.231848,-7982.64,-7.8636,-2037.87,-45.043,-4.66,13.422,-0.96,-7187.32,1,-1.27692,15845.1,13458.96,11.2323,-532.8,,TRUE
4.837,12.496,1,2205.48,2.289,-8353.98,-7.05438,-1841.57,-42.4863,-3.7642,5.182,-1.96,-7196.16,1,-2.0367,750.3,12841.216,18.027,-312.304,20.92,FALSE
4.29,7.6908,0,2408.7,2.0745,-7591.98,-7.6071,-2962.27,-42.997,-5.912,4.75572,-0.96,-7190.26,0,-1.3638,8126.1,12829.891,12.651,-126.52,,TRUE
3.3322,7.9764,1,2413.53,2.48,-8001.87,-10.482,-2061.13,-48.148,-5.45,9.716,-0.96,-7118.58,1,-7.566,2615.4,12829.099,18.234,-312.138,25.36,TRUE
